sequenceID	source.name	genotype	subtype
HQ223321	ncbi-nuccore-equine	As	-
HQ223322	ncbi-nuccore-equine	As	-
HQ223323	ncbi-nuccore-equine	As	-
HQ223324	ncbi-nuccore-equine	As	-
HQ223325	ncbi-nuccore-equine	As	-
HQ223326	ncbi-nuccore-equine	As	-
HQ223327	ncbi-nuccore-equine	As	-
HQ223328	ncbi-nuccore-equine	As	-
HQ223329	ncbi-nuccore-equine	As	-
HQ223330	ncbi-nuccore-equine	As	-
HQ223331	ncbi-nuccore-equine	As	-
HQ223332	ncbi-nuccore-equine	As	-
HQ223333	ncbi-nuccore-equine	As	-
HQ223334	ncbi-nuccore-equine	As	-
HQ223335	ncbi-nuccore-equine	As	-
HQ242651	ncbi-nuccore-equine	As	-
HQ242652	ncbi-nuccore-equine	As	-
HQ242653	ncbi-nuccore-equine	As	-
HQ242654	ncbi-nuccore-equine	As	-
HQ242655	ncbi-nuccore-equine	As	-
HQ242656	ncbi-nuccore-equine	As	-
HQ242657	ncbi-nuccore-equine	As	-
HQ242658	ncbi-nuccore-equine	As	-
HQ242659	ncbi-nuccore-equine	As	-
HQ242660	ncbi-nuccore-equine	As	-
HQ242661	ncbi-nuccore-equine	As	-
HQ242662	ncbi-nuccore-equine	As	-
HQ242663	ncbi-nuccore-equine	As	-
HQ242664	ncbi-nuccore-equine	As	-
HQ242665	ncbi-nuccore-equine	As	-
HQ242666	ncbi-nuccore-equine	As	-
HQ242667	ncbi-nuccore-equine	As	-
HQ242668	ncbi-nuccore-equine	As	-
HQ242669	ncbi-nuccore-equine	As	-
HQ242670	ncbi-nuccore-equine	As	-
HQ242671	ncbi-nuccore-equine	As	-
HQ242672	ncbi-nuccore-equine	As	-
HQ242673	ncbi-nuccore-equine	As	-
HQ242674	ncbi-nuccore-equine	As	-
HQ242675	ncbi-nuccore-equine	As	-
HQ242676	ncbi-nuccore-equine	As	-
HQ242677	ncbi-nuccore-equine	As	-
HQ242678	ncbi-nuccore-equine	As	-
HQ242679	ncbi-nuccore-equine	As	-
HQ242680	ncbi-nuccore-equine	As	-
HQ242681	ncbi-nuccore-equine	As	-
HQ242682	ncbi-nuccore-equine	As	-
HQ242683	ncbi-nuccore-equine	As	-
HQ242684	ncbi-nuccore-equine	As	-
HQ242685	ncbi-nuccore-equine	As	-
HQ242686	ncbi-nuccore-equine	As	-
HQ242687	ncbi-nuccore-equine	As	-
HQ242688	ncbi-nuccore-equine	As	-
HQ242689	ncbi-nuccore-equine	As	-
HQ242690	ncbi-nuccore-equine	As	-
HQ242691	ncbi-nuccore-equine	As	-
HQ242692	ncbi-nuccore-equine	As	-
HQ242693	ncbi-nuccore-equine	As	-
HQ242694	ncbi-nuccore-equine	As	-
HQ242695	ncbi-nuccore-equine	As	-
HQ242696	ncbi-nuccore-equine	As	-
HQ242697	ncbi-nuccore-equine	As	-
HQ242698	ncbi-nuccore-equine	As	-
HQ242699	ncbi-nuccore-equine	As	-
HQ242700	ncbi-nuccore-equine	As	-
HQ242701	ncbi-nuccore-equine	As	-
HQ242702	ncbi-nuccore-equine	As	-
HQ242703	ncbi-nuccore-equine	As	-
HQ242704	ncbi-nuccore-equine	As	-
HQ242705	ncbi-nuccore-equine	As	-
HQ242706	ncbi-nuccore-equine	As	-
HQ242707	ncbi-nuccore-equine	As	-
HQ242708	ncbi-nuccore-equine	As	-
HQ242709	ncbi-nuccore-equine	As	-
HQ242710	ncbi-nuccore-equine	As	-
HQ888861	ncbi-nuccore-equine	-	-
HQ888862	ncbi-nuccore-equine	-	-
JX193070	ncbi-nuccore-equine	UK	-
JX193071	ncbi-nuccore-equine	-	-
JX193072	ncbi-nuccore-equine	-	-
JX480635	ncbi-nuccore-equine	Eu1	-
JX480636	ncbi-nuccore-equine	Eu1	-
JX480637	ncbi-nuccore-equine	Eu1	-
JX480638	ncbi-nuccore-equine	Eu1	-
JX480639	ncbi-nuccore-equine	Eu1	-
JX480640	ncbi-nuccore-equine	Eu1	-
JX480641	ncbi-nuccore-equine	Eu1	-
JX480642	ncbi-nuccore-equine	Eu1	-
JX480643	ncbi-nuccore-equine	Eu1	-
JX480644	ncbi-nuccore-equine	Eu1	-
JX480645	ncbi-nuccore-equine	Eu1	-
JX480662	ncbi-nuccore-equine	Eu1	-
JX480663	ncbi-nuccore-equine	Eu1	-
JX480664	ncbi-nuccore-equine	Eu1	-
JX480665	ncbi-nuccore-equine	Eu1	-
JX480666	ncbi-nuccore-equine	Eu1	-
JX480667	ncbi-nuccore-equine	Eu1	-
JX480668	ncbi-nuccore-equine	Eu1	-
JX480669	ncbi-nuccore-equine	Eu1	-
JX480670	ncbi-nuccore-equine	Eu1	-
JX480671	ncbi-nuccore-equine	Eu1	-
JX480672	ncbi-nuccore-equine	Eu1	-
JX480673	ncbi-nuccore-equine	Eu1	-
JX480674	ncbi-nuccore-equine	Eu1	-
JX480675	ncbi-nuccore-equine	Eu1	-
JX480676	ncbi-nuccore-equine	Eu1	-
JX480711	ncbi-nuccore-equine	Eu1	-
JX480712	ncbi-nuccore-equine	Eu1	-
JX480713	ncbi-nuccore-equine	Eu1	-
JX480714	ncbi-nuccore-equine	Eu1	-
JX480715	ncbi-nuccore-equine	Eu1	-
JX480716	ncbi-nuccore-equine	Eu1	-
JX480717	ncbi-nuccore-equine	Eu1	-
JX480718	ncbi-nuccore-equine	Eu1	-
JX480719	ncbi-nuccore-equine	Eu1	-
JX480720	ncbi-nuccore-equine	Eu1	-
JX480721	ncbi-nuccore-equine	Eu1	-
JX480722	ncbi-nuccore-equine	Eu1	-
JX480723	ncbi-nuccore-equine	Eu1	-
JX480724	ncbi-nuccore-equine	Eu1	-
JX480725	ncbi-nuccore-equine	Eu1	-
JX480726	ncbi-nuccore-equine	Eu1	-
JX480727	ncbi-nuccore-equine	Eu1	-
JX480728	ncbi-nuccore-equine	Eu1	-
JX480729	ncbi-nuccore-equine	Eu1	-
JX480778	ncbi-nuccore-equine	Eu1	-
JX480779	ncbi-nuccore-equine	Eu1	-
JX480780	ncbi-nuccore-equine	Eu1	-
JX480781	ncbi-nuccore-equine	Eu1	-
JX480782	ncbi-nuccore-equine	Eu1	-
JX480783	ncbi-nuccore-equine	Eu1	-
JX480784	ncbi-nuccore-equine	Eu1	-
JX480785	ncbi-nuccore-equine	Eu1	-
JX480786	ncbi-nuccore-equine	Eu1	-
JX480787	ncbi-nuccore-equine	Eu1	-
JX480788	ncbi-nuccore-equine	Eu1	-
JX480789	ncbi-nuccore-equine	Eu1	-
JX480790	ncbi-nuccore-equine	Eu1	-
JX480791	ncbi-nuccore-equine	Eu1	-
JX480792	ncbi-nuccore-equine	Eu1	-
JX480793	ncbi-nuccore-equine	Eu1	-
JX480794	ncbi-nuccore-equine	Eu1	-
JX480795	ncbi-nuccore-equine	Eu1	-
JX480796	ncbi-nuccore-equine	Eu1	-
KF878266	ncbi-nuccore-equine	-	-
KF878267	ncbi-nuccore-equine	Eu1	-
KF878268	ncbi-nuccore-equine	-	-
KF878269	ncbi-nuccore-equine	-	-
KF878270	ncbi-nuccore-equine	-	-
KF878271	ncbi-nuccore-equine	Eu1	-
KF878272	ncbi-nuccore-equine	-	-
KF878273	ncbi-nuccore-equine	-	-
KF878274	ncbi-nuccore-equine	Eu1	-
KF878275	ncbi-nuccore-equine	UK	-
KM202106	ncbi-nuccore-equine	-	-
KM248275	ncbi-nuccore-equine	Am	-
KT371943	ncbi-nuccore-equine	Am	-
KT371944	ncbi-nuccore-equine	Am	-
KT371945	ncbi-nuccore-equine	Am	-
KT371946	ncbi-nuccore-equine	Am	-
KT371947	ncbi-nuccore-equine	Am	-
KT371948	ncbi-nuccore-equine	Am	-
KT371949	ncbi-nuccore-equine	Am	-
KT371950	ncbi-nuccore-equine	Am	-
KT371951	ncbi-nuccore-equine	Am	-
KT371952	ncbi-nuccore-equine	Am	-
KT371953	ncbi-nuccore-equine	Am	-
KT371954	ncbi-nuccore-equine	Am	-
KT371955	ncbi-nuccore-equine	Am	-
KT371956	ncbi-nuccore-equine	Am	-
KT371957	ncbi-nuccore-equine	Am	-
KT371958	ncbi-nuccore-equine	Am	-
KT371959	ncbi-nuccore-equine	Am	-
KT371960	ncbi-nuccore-equine	Am	-
KT371961	ncbi-nuccore-equine	Am	-
KT371962	ncbi-nuccore-equine	Am	-
KT371963	ncbi-nuccore-equine	Am	-
KT371964	ncbi-nuccore-equine	Am	-
KT371965	ncbi-nuccore-equine	Am	-
KT371966	ncbi-nuccore-equine	Am	-
KT371967	ncbi-nuccore-equine	Am	-
KT371968	ncbi-nuccore-equine	Am	-
KT764943	ncbi-nuccore-equine	Eu1	-
KT764944	ncbi-nuccore-equine	Eu1	-
KT764945	ncbi-nuccore-equine	Eu1	-
KT764946	ncbi-nuccore-equine	Eu1	-
KT764947	ncbi-nuccore-equine	Eu1	-
KT764948	ncbi-nuccore-equine	Eu1	-
KT764949	ncbi-nuccore-equine	Eu1	-
KT764950	ncbi-nuccore-equine	Eu1	-
KT764951	ncbi-nuccore-equine	Eu1	-
KT764952	ncbi-nuccore-equine	Eu1	-
KT764953	ncbi-nuccore-equine	Eu1	-
KT764954	ncbi-nuccore-equine	Eu1	-
KT764955	ncbi-nuccore-equine	Eu1	-
KT764956	ncbi-nuccore-equine	Eu1	-
L06609	ncbi-nuccore-equine	Am	-
M18385	ncbi-nuccore-equine	Am	-
M18386	ncbi-nuccore-equine	Am	-
M18387	ncbi-nuccore-equine	Am	-
M18388	ncbi-nuccore-equine	Am	-
M30138	ncbi-nuccore-equine	Am	-
M36592	ncbi-nuccore-equine	Am	-
M54797	ncbi-nuccore-equine	Am	-
M58039	ncbi-nuccore-equine	Am	-
M87575	ncbi-nuccore-equine	Am	-
M87580	ncbi-nuccore-equine	Am	-
M87583	ncbi-nuccore-equine	Am	-
M87587	ncbi-nuccore-equine	Am	-
M87588	ncbi-nuccore-equine	Am	-
M93674	ncbi-nuccore-equine	Am	-
MK268242	ncbi-nuccore-equine	As	-
MK268243	ncbi-nuccore-equine	As	-
MK268244	ncbi-nuccore-equine	As	-
MK268245	ncbi-nuccore-equine	As	-
MK268246	ncbi-nuccore-equine	As	-
MK268247	ncbi-nuccore-equine	As	-
MK268248	ncbi-nuccore-equine	As	-
MK268249	ncbi-nuccore-equine	As	-
MK268250	ncbi-nuccore-equine	As	-
MK268251	ncbi-nuccore-equine	As	-
MK268252	ncbi-nuccore-equine	As	-
MK268253	ncbi-nuccore-equine	As	-
MK268254	ncbi-nuccore-equine	As	-
MK268255	ncbi-nuccore-equine	As	-
MK268256	ncbi-nuccore-equine	As	-
MK268257	ncbi-nuccore-equine	As	-
MK268258	ncbi-nuccore-equine	As	-
MK268259	ncbi-nuccore-equine	As	-
MK268260	ncbi-nuccore-equine	As	-
MK268261	ncbi-nuccore-equine	As	-
MK268262	ncbi-nuccore-equine	As	-
MK268263	ncbi-nuccore-equine	As	-
MK268264	ncbi-nuccore-equine	As	-
MK268265	ncbi-nuccore-equine	As	-
MK268266	ncbi-nuccore-equine	As	-
MK268267	ncbi-nuccore-equine	As	-
MK268268	ncbi-nuccore-equine	As	-
MK268269	ncbi-nuccore-equine	As	-
MK268270	ncbi-nuccore-equine	As	-
MK268271	ncbi-nuccore-equine	As	-
MK268272	ncbi-nuccore-equine	As	-
MK268273	ncbi-nuccore-equine	As	-
MK268274	ncbi-nuccore-equine	As	-
MK268275	ncbi-nuccore-equine	As	-
MK268276	ncbi-nuccore-equine	As	-
MK268277	ncbi-nuccore-equine	As	-
MK268278	ncbi-nuccore-equine	As	-
MK268279	ncbi-nuccore-equine	As	-
MK268280	ncbi-nuccore-equine	As	-
MK268281	ncbi-nuccore-equine	As	-
MK268282	ncbi-nuccore-equine	As	-
MK268283	ncbi-nuccore-equine	As	-
MK268284	ncbi-nuccore-equine	As	-
MK268285	ncbi-nuccore-equine	As	-
MK268286	ncbi-nuccore-equine	As	-
MK268287	ncbi-nuccore-equine	As	-
MK268288	ncbi-nuccore-equine	As	-
MK268289	ncbi-nuccore-equine	As	-
MK268290	ncbi-nuccore-equine	As	-
MK268291	ncbi-nuccore-equine	As	-
MK268292	ncbi-nuccore-equine	As	-
MK268293	ncbi-nuccore-equine	As	-
MK268294	ncbi-nuccore-equine	As	-
MK268295	ncbi-nuccore-equine	As	-
MK268296	ncbi-nuccore-equine	As	-
MK268297	ncbi-nuccore-equine	As	-
MK268298	ncbi-nuccore-equine	As	-
MK268299	ncbi-nuccore-equine	As	-
MK268300	ncbi-nuccore-equine	As	-
MK268301	ncbi-nuccore-equine	As	-
MK268302	ncbi-nuccore-equine	As	-
MK268303	ncbi-nuccore-equine	As	-
MK268304	ncbi-nuccore-equine	As	-
MK268305	ncbi-nuccore-equine	As	-
MK268306	ncbi-nuccore-equine	As	-
MK268307	ncbi-nuccore-equine	As	-
MK268308	ncbi-nuccore-equine	As	-
MK268309	ncbi-nuccore-equine	As	-
MK268310	ncbi-nuccore-equine	As	-
MK268311	ncbi-nuccore-equine	As	-
MK268312	ncbi-nuccore-equine	As	-
MK268313	ncbi-nuccore-equine	As	-
MK268314	ncbi-nuccore-equine	As	-
MK268315	ncbi-nuccore-equine	As	-
MK268316	ncbi-nuccore-equine	As	-
MK268317	ncbi-nuccore-equine	As	-
MK268318	ncbi-nuccore-equine	As	-
MK268319	ncbi-nuccore-equine	As	-
MK268320	ncbi-nuccore-equine	As	-
MK268321	ncbi-nuccore-equine	As	-
MK268322	ncbi-nuccore-equine	As	-
MK268323	ncbi-nuccore-equine	As	-
MK268324	ncbi-nuccore-equine	As	-
MK268325	ncbi-nuccore-equine	As	-
MK268326	ncbi-nuccore-equine	As	-
MK268327	ncbi-nuccore-equine	As	-
MK268328	ncbi-nuccore-equine	As	-
MK268329	ncbi-nuccore-equine	As	-
MK268330	ncbi-nuccore-equine	As	-
MK268331	ncbi-nuccore-equine	As	-
MK268332	ncbi-nuccore-equine	As	-
MK268333	ncbi-nuccore-equine	As	-
MK268334	ncbi-nuccore-equine	As	-
MK268335	ncbi-nuccore-equine	As	-
MK268336	ncbi-nuccore-equine	As	-
MK268337	ncbi-nuccore-equine	As	-
MK268338	ncbi-nuccore-equine	As	-
MK268339	ncbi-nuccore-equine	As	-
U01865	ncbi-nuccore-equine	Am	-
U01867	ncbi-nuccore-equine	Am	-
U01868	ncbi-nuccore-equine	Am	-
U01869	ncbi-nuccore-equine	Am	-
X16988	ncbi-nuccore-equine	Am	-
X58147	ncbi-nuccore-equine	Am	-
X63058	ncbi-nuccore-equine	Am	-
X63059	ncbi-nuccore-equine	Am	-
AF016316	ncbi-refseqs-core	American	-
AF033819	ncbi-refseqs-core	M	-
AF322109	ncbi-refseqs-core	B	-
EU293537	ncbi-refseqs-core	E	-
GQ381130	ncbi-refseqs-core	E	-
JF502416	ncbi-refseqs-core	B	-
M25381	ncbi-refseqs-core	Global Fca	-
M32690	ncbi-refseqs-core	M	-
NC_001452	ncbi-refseqs-core	A	-
NC_001463	ncbi-refseqs-core	B	-
X05291	ncbi-refseqs-core	A	-
AB008196	ncbi-refseqs-equine	American	-
AB008197	ncbi-refseqs-equine	American	-
AF028231	ncbi-refseqs-equine	American	-
AF028232	ncbi-refseqs-equine	American	-
AF247394	ncbi-refseqs-equine	American	-
AF327877	ncbi-refseqs-equine	Asian	-
AF327878	ncbi-refseqs-equine	Asian	-
GU385353	ncbi-refseqs-equine	Asian	-
GU385354	ncbi-refseqs-equine	Asian	-
GU385355	ncbi-refseqs-equine	Asian	-
GU385356	ncbi-refseqs-equine	Asian	-
GU385357	ncbi-refseqs-equine	Asian	-
GU385358	ncbi-refseqs-equine	Asian	-
GU385359	ncbi-refseqs-equine	Asian	-
GU385360	ncbi-refseqs-equine	Asian	-
GU385361	ncbi-refseqs-equine	Asian	-
GU385362	ncbi-refseqs-equine	Asian	-
GU385363	ncbi-refseqs-equine	Asian	-
GU385364	ncbi-refseqs-equine	Asian	-
GU385365	ncbi-refseqs-equine	Asian	-
HM141909	ncbi-refseqs-equine	Asian	-
HM141910	ncbi-refseqs-equine	Asian	-
HM141911	ncbi-refseqs-equine	Asian	-
HM141912	ncbi-refseqs-equine	Asian	-
HM141913	ncbi-refseqs-equine	Asian	-
HM141914	ncbi-refseqs-equine	Asian	-
HM141915	ncbi-refseqs-equine	Asian	-
HM141916	ncbi-refseqs-equine	Asian	-
HM141917	ncbi-refseqs-equine	Asian	-
HM141918	ncbi-refseqs-equine	Asian	-
HM141919	ncbi-refseqs-equine	Asian	-
HM141920	ncbi-refseqs-equine	Asian	-
HM141921	ncbi-refseqs-equine	Asian	-
HM141922	ncbi-refseqs-equine	Asian	-
HM141923	ncbi-refseqs-equine	Asian	-
JX003263	ncbi-refseqs-equine	Asian	-
JX480631	ncbi-refseqs-equine	European1	-
JX480632	ncbi-refseqs-equine	European1	-
JX480633	ncbi-refseqs-equine	European1	-
JX480634	ncbi-refseqs-equine	European1	-
KM247554	ncbi-refseqs-equine	European1	-
KM247555	ncbi-refseqs-equine	European1	-
M16575	ncbi-refseqs-equine	American	-
M87581	ncbi-refseqs-equine	American	-
MH580896	ncbi-refseqs-equine	European2	-
MH580897	ncbi-refseqs-equine	European1	-
MH580898	ncbi-refseqs-equine	UK	-
MH820163	ncbi-refseqs-equine	American	-
MH820164	ncbi-refseqs-equine	American	-
MH820165	ncbi-refseqs-equine	American	-
MH820166	ncbi-refseqs-equine	American	-
MK593462	ncbi-refseqs-equine	European2	-
MK593463	ncbi-refseqs-equine	European1	-
MN560970	ncbi-refseqs-equine	Brazil	-
MN560971	ncbi-refseqs-equine	Brazil	-
MT338937	ncbi-refseqs-equine	European2	-
MW924675	ncbi-refseqs-equine	Spain	-
MW924676	ncbi-refseqs-equine	Spain	-
MW924677	ncbi-refseqs-equine	Spain	-
NC_001450	ncbi-refseqs-equine	American	-
ON615427	ncbi-refseqs-equine	Brazil	-
U01866	ncbi-refseqs-equine	American	-
